Top 100 All time 1998 - 201050 week ending 11th December 2010,,SOURCE: NIELSEN,,,,,,,,,,,
Index,Position,ISBN,Title,Author,Imprint,Publisher Group,Volume,Value,RRP,ASP,Binding,Publ Date,Product Class
1,1,9.78055E+12,"Da Vinci Code,The","Brown, Dan",Corgi Books,Transworld Grp,"4,522,025","£22,857,837.53",£7.99,£5.05,Paperback,1-Mar-04,"F2.1  Crime, Thriller & Adventure"
3,2,9.78075E+12,Harry Potter and the Philosopher's Stone#,"Rowling, J. K.",Bloomsbury Publishing PLC,Bloomsbury Grp,"3,844,316","£19,853,187.43",£6.99,£5.22,Paperback,26-Jun-97,Y2.1  Children's Fiction
7,3,9.78075E+12,Harry Potter and the Chamber of Secrets#,"Rowling, J. K.",Bloomsbury Publishing PLC,Bloomsbury Grp,"3,184,492","£16,224,021.98",£6.99,£5.07,Paperback,1-Apr-99,Y2.1  Children's Fiction
6,4,9.78055E+12,Angels and Demons#,"Brown, Dan",Corgi Books,Transworld Grp,"3,096,850","£15,537,324.84",£7.99,£5.05,Paperback,1-Jul-03,"F2.1  Crime, Thriller & Adventure"
2,5,9.78075E+12,Harry Potter and the Order of the Phoenix,"Rowling, J. K.",Bloomsbury Publishing PLC,Bloomsbury Grp,"3,043,226","£33,925,431.19",£16.99,£11.15,Hardback,21-Jun-03,Y2.1  Children's Fiction
4,6,9.78075E+12,Harry Potter and the Half-blood Prince:Children's Edition,"Rowling, J. K.",Bloomsbury Publishing PLC,Bloomsbury Grp,"2,947,565","£28,030,020.14",£16.99,£9.51,Hardback,16-Jul-05,Y2.1  Children's Fiction
5,7,9.78075E+12,Harry Potter and the Deathly Hallows,"Rowling, J. K.",Bloomsbury Publishing PLC,Bloomsbury Grp,"2,842,059","£25,028,396.30",£17.99,£8.81,Hardback,21-Jul-07,Y2.1  Children's Fiction
8,8,9.78075E+12,Harry Potter and the Prisoner of Azkaban#,"Rowling, J. K.",Bloomsbury Publishing PLC,Bloomsbury Grp,"2,776,314","£14,140,490.93",£6.99,£5.05,Paperback,1-Apr-00,Y2.1  Children's Fiction
15,9,9.7819E+12,Twilight#,"Meyer, Stephenie",ATOM,"Little, Brown Book Grp","2,105,862","£10,148,762.73",£7.99,£4.80,Paperback,22-Mar-07,Y2.2  Young Adult Fiction
9,10,9.78075E+12,Harry Potter and the Goblet of Fire,"Rowling, J. K.",Bloomsbury Publishing PLC,Bloomsbury Grp,"2,057,397","£10,745,711.77",£8.99,£5.22,Paperback,6-Jul-01,Y2.1  Children's Fiction
10,11,9.78055E+12,Deception Point#,"Brown, Dan",Corgi Books,Transworld Grp,"2,018,264","£10,047,195.89",£7.99,£4.95,Paperback,1-May-04,"F2.1  Crime, Thriller & Adventure"
14,12,9.7819E+12,New Moon#,"Meyer, Stephenie",ATOM,"Little, Brown Book Grp","1,975,659","£9,425,640.57",£7.99,£4.83,Paperback,6-Sep-07,Y2.2  Young Adult Fiction
667,13,9.78033E+12,"Lovely Bones,The#","Sebold, Alice",Picador,Pan Macmillan Grp,"1,942,042","£11,561,201.71",£7.99,£5.24,Paperback,4-Dec-09,F1.1  General & Literary Fiction
11,14,9.78055E+12,Digital Fortress#,"Brown, Dan",Corgi Books,Transworld Grp,"1,911,943","£9,642,124.01",£7.99,£5.02,Paperback,5-Mar-04,"F2.1  Crime, Thriller & Adventure"
16,15,9.7801E+12,"Curious Incident of the Dog in the Night-time,The#","Haddon, Mark",Vintage,Random House Grp,"1,868,969","£10,196,570.23",£7.99,£5.40,Paperback,1-Apr-04,F1.1  General & Literary Fiction
12,16,9.7819E+12,Eclipse#,"Meyer, Stephenie",ATOM,"Little, Brown Book Grp","1,846,171","£8,981,704.14",£7.99,£4.86,Paperback,3-Jul-08,Y2.2  Young Adult Fiction
24,17,9.78185E+12,"Girl with the Dragon Tattoo,The:Millennium Trilogy#","Larsson, Stieg",Quercus,Quercus Grp,"1,697,425","£9,205,553.55",£7.99,£5.51,Paperback,24-Jul-08,"F2.1  Crime, Thriller & Adventure"
26,18,9.78075E+12,"Kite Runner,The#","Hosseini, Khaled",Bloomsbury Publishing PLC,Bloomsbury Grp,"1,551,953","£9,317,049.76",£7.99,£6.08,Paperback,7-Jun-04,F1.1  General & Literary Fiction
17,19,9.7801E+12,"Time Traveler's Wife,The","Niffenegger, Audrey",Vintage,Random House Grp,"1,496,081","£8,227,127.81",£7.99,£5.50,Paperback,29-May-04,F1.1  General & Literary Fiction
18,20,9.78014E+12,"World According to Clarkson,The","Clarkson, Jeremy",Penguin Books,Penguin Grp,"1,447,188","£7,503,190.76",£7.99,£5.18,Paperback,26-May-05,T13.0  Humour: Collections & General
60,21,9.7801E+12,Atonement#,"McEwan, Ian",Vintage,Random House Grp,"1,396,366","£8,671,447.35",£7.99,£6.74,Paperback,2-May-02,F1.1  General & Literary Fiction
19,22,9.78059E+12,"Lost Symbol,The","Brown, Dan",Bantam Press,Transworld Grp,"1,370,347","£13,052,345.93",£18.99,£9.52,Hardback,15-Sep-09,"F2.1  Crime, Thriller & Adventure"
20,23,9.78055E+12,"Short History of Nearly Everything,A","Bryson, Bill",Black Swan,Transworld Grp,"1,334,635","£9,911,709.25",£9.99,£7.43,Paperback,1-Jun-04,T8.0  Popular Science
21,24,9.78191E+12,Breaking Dawn,"Meyer, Stephenie",ATOM,"Little, Brown Book Grp","1,315,685","£12,034,126.42",£14.99,£9.15,Hardback,4-Aug-08,Y2.2  Young Adult Fiction
22,25,9.78075E+12,Harry Potter and the Goblet of Fire,"Rowling, J. K.",Bloomsbury Publishing PLC,Bloomsbury Grp,"1,297,411","£14,875,830.76",£17.99,£11.47,Hardback,8-Jul-00,Y2.1  Children's Fiction
23,26,9.78075E+12,Harry Potter and the Deathly Hallows,"Rowling, J. K.",Bloomsbury Publishing PLC,Bloomsbury Grp,"1,283,638","£12,081,283.05",£17.99,£9.41,Hardback,21-Jul-07,F2.2  Science Fiction & Fantasy
"1,400",27,9.78185E+12,"Girl Who Played With Fire,The:Millennium Trilogy#","Larsson, Stieg",Quercus Publishing Plc,Quercus Grp,"1,265,474","£6,706,614.76",£7.99,£5.18,Paperback,29-Jul-10,"F2.1  Crime, Thriller & Adventure"
27,28,9.78075E+12,"Child Called It,A","Pelzer, Dave",Orion (an Imprint of The Orion,Orion Grp,"1,116,042","£5,566,648.20",£6.99,£4.99,Paperback,4-Jan-01,T4.0A  Autobiography: General
